Table S8. Alpha diversity estimates of richness,,,,,,,,,
,,,,,,,,,
Bacterial Sample,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher
X1B.BS.1.16s_S233_L001_R1_001.fastq.gz,101,101,0,101,2.714099599,4.246684235,0.980309235,50.7852296,17.59774432
X1B.ES.16s_S255_L001_R1_001.fastq.gz,131,131,0,131,3.421976573,3.456626246,0.906548981,10.70079289,18.41078765
X1B.ES.2.16s_S298_L001_R1_001.fastq.gz,261,261,0,261,3.986567484,4.566585156,0.970814482,34.26356843,38.53511048
X1B.RS.16s_S244_L001_R1_001.fastq.gz,141,141,0,141,3.31341567,3.764040457,0.924807305,13.29916416,21.49035155
X1C.BS.1.16s_S234_L001_R1_001.fastq.gz,192,192,0,192,3.718618695,4.753786333,0.986688212,75.1213909,32.1782906
X1C.ES.2.16s_S299_L001_R1_001.fastq.gz,302,302,0,302,3.653901118,5.045544297,0.989127766,91.97742092,47.33735838
X1C.RS.16s_S245_L001_R1_001.fastq.gz,190,190,0,190,4.036673983,4.609952997,0.9807896,52.05513758,31.73335764
X1D.ES.2.16s_S300_L001_R1_001.fastq.gz,224,224,0,224,4.629100499,4.691087708,0.984779324,65.70010505,34.85660643
X1D.RS.2.16s_S282_L001_R1_001.fastq.gz,71,71,0,71,3.595772165,3.957107022,0.974610839,39.38688685,14.66852757
X1E.ES.2.16s_S301_L001_R1_001.fastq.gz,84,84,0,84,1.397276262,3.927299274,0.972318229,36.12485608,11.05751454
X1E.RS.2.16s_S283_L001_R1_001.fastq.gz,72,72,0,72,1.943650632,3.915978861,0.97258781,36.4801206,12.81273512
X1F.BS.2.16s_S272_L001_R1_001.fastq.gz,173,173,0,173,3.587067329,4.480057675,0.979707593,49.27951515,29.21847772
X1F.ES.2.16s_S302_L001_R1_001.fastq.gz,231,231,0,231,3.502627338,4.614188426,0.981487439,54.01737791,33.91135364
X1F.RS.2.16s_S284_L001_R1_001.fastq.gz,236,236,0,236,5.117268869,4.885433723,0.987354429,79.07906783,41.27455688
X2A.BS.1.16s_S235_L001_R1_001.fastq.gz,168,168,0,168,4.28660705,4.502680836,0.981234704,53.28986012,28.48398149
X2A.BS.2.16s_S273_L001_R1_001.fastq.gz,160,160,0,160,2.914403884,4.542000288,0.983848519,61.9138253,25.21282153
X2A.ES.16s_S257_L001_R1_001.fastq.gz,194,194,0,194,3.938312999,4.244662932,0.96281847,26.8950737,29.12655924
X2A.ES.2.16s_S303_L001_R1_001.fastq.gz,182,182,0,182,3.074174597,4.228332664,0.96584254,29.27618132,27.40074549
X2A.RS.16s_S246_L001_R1_001.fastq.gz,195,195,0,195,3.604840051,4.366307792,0.968326002,31.57163763,30.9871078
X2A.RS.2.16s_S285_L001_R1_001.fastq.gz,228,228,0,228,3.62496219,4.64839147,0.980898396,52.35162481,35.93190659
X2B.BS.1.16s_S236_L001_R1_001.fastq.gz,114,114,0,114,3.393750707,4.279976324,0.97874072,47.03828168,20.41534033
X2B.BS.2.16s_S274_L001_R1_001.fastq.gz,208,208,0,208,4.251696494,4.808352128,0.986953279,76.64761118,35.93912071
X2B.ES.2.16s_S304_L001_R1_001.fastq.gz,245,245,0,245,4.186469946,4.915027194,0.98972272,97.30201346,37.11941348
X2B.RS.16s_S247_L001_R1_001.fastq.gz,176,176,0,176,2.922288953,4.55521876,0.981831186,55.03936511,28.08866337
