Table S6. Bacterial ASV table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Row.names,1B-BS-1-16s_S233_L001_R1_001.fastq.gz,1B-ES-16s_S255_L001_R1_001.fastq.gz,1B-ES-2-16s_S298_L001_R1_001.fastq.gz,1B-RS-16s_S244_L001_R1_001.fastq.gz,1C-BS-1-16s_S234_L001_R1_001.fastq.gz,1C-ES-2-16s_S299_L001_R1_001.fastq.gz,1C-RS-16s_S245_L001_R1_001.fastq.gz,1D-ES-2-16s_S300_L001_R1_001.fastq.gz,1D-RS-2-16s_S282_L001_R1_001.fastq.gz,1E-ES-2-16s_S301_L001_R1_001.fastq.gz,1E-RS-2-16s_S283_L001_R1_001.fastq.gz,1F-BS-2-16s_S272_L001_R1_001.fastq.gz,1F-ES-2-16s_S302_L001_R1_001.fastq.gz,1F-RS-2-16s_S284_L001_R1_001.fastq.gz,2A-BS-1-16s_S235_L001_R1_001.fastq.gz,2A-BS-2-16s_S273_L001_R1_001.fastq.gz,2A-ES-16s_S257_L001_R1_001.fastq.gz,2A-ES-2-16s_S303_L001_R1_001.fastq.gz,2A-RS-16s_S246_L001_R1_001.fastq.gz,2A-RS-2-16s_S285_L001_R1_001.fastq.gz,2B-BS-1-16s_S236_L001_R1_001.fastq.gz,2B-BS-2-16s_S274_L001_R1_001.fastq.gz,2B-ES-2-16s_S304_L001_R1_001.fastq.gz,2B-RS-16s_S247_L001_R1_001.fastq.gz,2B-RS-2-16s_S286_L001_R1_001.fastq.gz,2C-BS-1-16s_S237_L001_R1_001.fastq.gz,2C-ES-16s_S259_L001_R1_001.fastq.gz,2C-ES-2-16s_S305_L001_R1_001.fastq.gz,2C-RS-16s_S248_L001_R1_001.fastq.gz,2C-RS-2-16s_S287_L001_R1_001.fastq.gz,2D-BS-1-16s_S238_L001_R1_001.fastq.gz,2D-BS-2-16s_S276_L001_R1_001.fastq.gz,2D-ES-16s_S260_L001_R1_001.fastq.gz,2D-ES-2-16s_S306_L001_R1_001.fastq.gz,2D-RS-16s_S249_L001_R1_001.fastq.gz,2D-RS-2-16s_S288_L001_R1_001.fastq.gz,2E-BS-2-16s_S277_L001_R1_001.fastq.gz,2E-ES-2-16s_S307_L001_R1_001.fastq.gz
1,Seq1,14,180,153,202,11,28,51,30,0,74,28,1,45,25,0,3,31,0,46,5,0,5,8,68,13,0,52,77,21,115,0,0,15,15,18,23,0,0
2,Seq10,0,0,0,0,0,0,9,0,0,2,0,0,38,4,0,0,0,7,0,3,0,0,0,0,0,4,4,12,8,1,4,0,3,5,8,0,0,2
3,Seq100,13,0,0,0,0,0,14,0,0,0,0,4,1,6,10,0,0,26,14,24,22,0,0,5,0,15,0,9,16,16,20,19,0,3,19,16,23,15
4,Seq1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Seq1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Seq1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Seq1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,0
8,Seq1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,7,0
9,Seq1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,0,0,6
10,Seq1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Seq1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Seq1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Seq1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
