BioFunction,Genus,Count,Rel.Count
Methanotrophy,Methylocapsa,8,0.421052632
Methanotrophy,Methylocella,8,0.421052632
Methanotrophy,Methylocystis,2,0.105263158
Methanotrophy,Methyloferula,1,0.052631579
Methanol Oxidation,Methylophilus,1,0.5
Methanol Oxidation,Methylotenera,1,0.5
Methylotrophy,Methylocapsa,8,0.380952381
Methylotrophy,Methylocella,8,0.380952381
Methylotrophy,Methylocystis,2,0.095238095
Methylotrophy,Methyloferula,1,0.047619048
Methylotrophy,Methylotenera,1,0.047619048
Methylotrophy,Methylophilus,1,0.047619048
Aerobic Ammonia Oxidation,Candidatus Nitrocosmicus,5,0.555555556
Aerobic Ammonia Oxidation,Candidatus Nitrososphaera,4,0.444444444
Aeroic Nitrite Oxidation,Candidatus Nitrotoga,2,1
Nitrification,Candidatus Nitrocosmicus,5,0.454545455
Nitrification,Candidatus Nitrososphaera,4,0.363636364
Nitrification,Candidatus Nitrotoga,2,0.181818182
Nitrate Denitrification,Rhodoplanes,43,1
Nitrite Denitrification,Rhodoplanes,43,1
Nitrous Oxide Dentrification,Rhodoplanes,43,1
Denitrification,Rhodoplanes,43,1
Chitinolysis,Lysobacter,3,1
Nitrogen Fixation,Beijerinckia,1,0.025
Nitrogen Fixation,Methylocapsa,8,0.2
Nitrogen Fixation,Methylocella,8,0.2
Nitrogen Fixation,Methylocystis,2,0.05
Nitrogen Fixation,Bradyrhizobium,19,0.475
Nitrogen Fixation,Herbaspirillum,2,0.05
Nitrite Respiration,Rhodoplanes,43,1
Cellulolysis,Acidothermus,221,0.920833333
Cellulolysis,Cytophaga,31,0.129166667
Cellulolysis,Sporocytophaga,15,0.0625
Cellulolysis,Sporangium,3,0.0125
Xylanolysis,Corallococcus,1,1
Manganese Oxidation,Geodermatophilus,6,1
Fermentation,Anoxybacillus,1,0.012658228
Fermentation,Turicibacter,1,0.012658228
Fermentation,Lactococcus,1,0.012658228
Fermentation,Streptococcus,1,0.012658228
Fermentation,Peptoclostridium,1,0.012658228
Fermentation,Skermanella,1,0.012658228
Fermentation,Lautropia,1,0.012658228
Fermentation,Rhodoferax,2,0.025316456
Fermentation,Klebsiella,1,0.012658228
Fermentation,Opitutus,69,0.873417722
Aerobic Chemoheterotrophy,Acidicapsa,14,0.008313539
Aerobic Chemoheterotrophy,Edaphobacter,18,0.010688836
Aerobic Chemoheterotrophy,Granulicella,75,0.044536817
Aerobic Chemoheterotrophy,Actinospica,22,0.013064133
Aerobic Chemoheterotrophy,Mycobacterium,36,0.021377672
Aerobic Chemoheterotrophy,Norcardia,19,0.01128266
Aerobic Chemoheterotrophy,Acidothermus,221,0.131235154
Aerobic Chemoheterotrophy,Cryptosporangium,1,0.000593824
Aerobic Chemoheterotrophy,Fodinicola,3,0.001781473
Aerobic Chemoheterotrophy,Blastococcus,9,0.005344418
Aerobic Chemoheterotrophy,Modestobacter,4,0.002375297
Aerobic Chemoheterotrophy,Nakamurella,4,0.002375297
Aerobic Chemoheterotrophy,Sporichthya,3,0.001781473
Aerobic Chemoheterotrophy,Kineosporia,3,0.001781473
Aerobic Chemoheterotrophy,Knoellia,1,0.000593824
Aerobic Chemoheterotrophy,Oryzihumus,3,0.001781473
Aerobic Chemoheterotrophy,Curtobacterium,2,0.001187648
Aerobic Chemoheterotrophy,Frondihabitans,1,0.000593824
Aerobic Chemoheterotrophy,Herbiconiux,1,0.000593824
Aerobic Chemoheterotrophy,Leifsonia,2,0.001187648
Aerobic Chemoheterotrophy,Actinoplanes,20,0.011876485
Aerobic Chemoheterotrophy,Catellatospora,1,0.000593824
Aerobic Chemoheterotrophy,Dactylosporangium,5,0.002969121
